"countofbarcode","barcode","location1","itemno1","location2","itemno2","location3","itemno3","location4","itemno4"
2,"C116920184","zi","i29700119x","zi","i297001152","","","",""
2,"C117227362","tm","i309003647","tm","i309003726","","","",""
2,"C118010574","zi","i301295803","zi","i301295578","","","",""
2,"C118146966","tm","i175824642","tm","i308841657","","","",""
2,"C118538779","bis","i307885586","bis","i311233946","","","",""
2,"C118630886","ea","i302877666","ea","i30287768x","","","",""
2,"C118641378","ea","i302963649","ea","i302963637","","","",""
2,"C118641545","ea","i303452833","ea","i303452845","","","",""
2,"C118646299","ea","i303317310","ea","i303317346","","","",""
2,"C118681242","ma","i264564455","nbmau","i306789759","","","",""
2,"C118947177","mfs","i31883957x","zw","i318839349","","","",""
2,"C119159983","esw","i320661076","es9b","i320686942","","","",""
2,"C119160378","es9d","i318085367","es9d","i318085379","","","",""
2,"C119162686","es9b","i318193103","es9b","i318193097","","","",""
2,"C119290003","ma","i312477211","ma","i312466560","","","",""
2,"C119462074","ma","i302964903","ma","i302964939","","","",""
2,"C119462144","ma","i302964071","ma","i302964083","","","",""
2,"C119635368","zi","i306034487","zi","i30603444x","","","",""
2,"C119636548","zi","i305864622","zi","i305864749","","","",""
2,"C119640935","zi","i306038997","zi","i306038924","","","",""
2,"C119955130","zi","i307165966","zi","i307166077","","","",""
2,"C119955653","zi","i307229051","zi","i307228988","","","",""
2,"C119955714","zi","i30722322x","zi","i307223553","","","",""
2,"C119995934","zi","i306538544","zi","i30654166x","","","",""
2,"C121003238","bi","i320515746","bi","i320428151","","","",""
2,"C121005555","ah","i320520900","ah92","i320428400","","","",""
2,"C121005564","ah92","i320428394","ah","i320520894","","","",""
2,"C121005573","ah","i320520882","ah92","i320428382","","","",""
2,"C121221054","ma","i312227000","ma","i312227012","","","",""
2,"C121271939","zi","i313781540","zi","i313610411","","","",""
2,"C121438102","tb","i320510542","tb","i320510505","","","",""
2,"C121524781","zi","i317349636","zi","i31734965x","","","",""
2,"C122120007","ma","i320808348","ma","i320808324","","","",""
2,"C122149557","ma","i32081564x","ma","i320815663","","","",""
3,"MN0000067629","ag","i28928367x","ag","i187522455","ag","i187130735","",""
2,"MN0000225771","ag","i271747924","ag","i264248831","","","",""
2,"MN0000227017","ag","i264262748","ag","i264265075","","","",""
2,"MN0000315465","ag","i280588240","ag","i280588598","","","",""
3,"MN0000318337","ag","i297674067","ag","i297667208","ag","i297671376","",""
2,"PB1003758","pf","i157238118","pf9r","i23453977x","","","",""
2,"PB1006534","pf","i118912203","pf9r","i275447443","","","",""
2,"PM0042217","pf","i305920662","pf","i298801930","","","",""
2,"PM0042415","pf","i304376759","pf","i304376590","","","",""
2,"TEMP492136","ig","i296224194","ig","i126611117","","","",""
